task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1004	95/0b1b24	7975138	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_mtsangambouensis_GCF_004770475)	COMPLETED	0	2025-11-26 12:00:21.270	5m 15s	1m 4s	983.5%	165.8 MB	2.7 GB	174 MB	71.1 MB
1003	e5/1c2ac6	7975139	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_cinconiae_GCF_040833995)	COMPLETED	0	2025-11-26 12:00:21.325	5m 15s	1m 15s	992.6%	196.6 MB	2.7 GB	174 MB	75.9 MB
1005	72/446530	7975140	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_licerasiae_GCF_000244755)	COMPLETED	0	2025-11-26 12:00:35.949	5m	1m 16s	993.6%	182.1 MB	2.7 GB	176.5 MB	77.2 MB
1007	62/a23c9d	7975142	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_kirschneri_GCF_000243695)	COMPLETED	0	2025-11-26 12:00:36.089	5m	1m 22s	1024.6%	171.1 MB	2.7 GB	180 MB	74.7 MB
1009	be/33f129	7975143	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_kmetyi_GCF_000243735)	COMPLETED	0	2025-11-26 12:00:36.144	5m	1m 12s	995.0%	196.8 MB	2.7 GB	180.9 MB	75.3 MB
1008	ff/78ee7e	7975144	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_sanjuanensis_GCF_022267325)	COMPLETED	0	2025-11-26 12:00:36.201	5m	1m 10s	984.0%	198 MB	2.8 GB	182.7 MB	76.2 MB
1020	f5/69f4ca	7975155	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_santarosai_GCF_000313175)	COMPLETED	0	2025-11-26 12:01:21.517	4m 14s	1m 7s	998.0%	187.5 MB	2.7 GB	172 MB	71 MB
1011	bb/9c8a13	7975146	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_tipperaryensis_GCF_001729245)	COMPLETED	0	2025-11-26 12:01:05.944	5m 15s	1m 18s	1004.9%	197.7 MB	2.7 GB	183.9 MB	76.4 MB
1022	29/2e0578	7975157	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_weilii_GCF_006874745)	COMPLETED	0	2025-11-26 12:01:21.625	4m 59s	1m 11s	999.9%	197.6 MB	2.7 GB	179.1 MB	74.2 MB
1014	0b/a2bc91	7975148	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_fainei_GCF_000306235)	COMPLETED	0	2025-11-26 12:01:21.027	5m	1m 5s	975.0%	177.3 MB	2.7 GB	177.9 MB	75.5 MB
